Valid_citing_DOI,Invalid_cited_DOI
10.14778/1920841.1920954,10.5555/646836.708343
10.5406/ethnomusicology.59.2.0202,10.2307/20184517
10.1161/01.cir.63.6.1391,10.1161/circ.37.4.509
10.1177/1179546820918903,10.3748/wjg.v10.i5.707.
10.1080/10410236.2020.1731937,10.1070/10810730903528033
10.1161/strokeaha.112.652065,10.1161/str.24.7.8322400
10.1177/1049732310393747,10.1111/j.545-5300.2003.42208.x
10.1155/2017/1491405,10.3760/cma.j.issn.0366-6999.20131202
10.1161/01.res.68.6.1549,10.1161/res.35.2.159
10.4018/978-1-5225-2650-6.ch006,10.1002/per
10.1145/2525314.2594229,10.5555/1873601.1873616
10.1007/s10619-020-07320-z,10.3390/sym11070911www.mdpi.com/journal/symmetry
10.1007/s11771-020-4410-2,10.13745/j.esf.2016.02.011